Time,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
2017-06-13 16:23:00,0.0,578.62,1,1,1,1017.01,6.96,386.75,0.0,1,1,1,1,1,1,1,2.85,0.0,1007.95,1,1,1,1,1,1,0,65.16,0.0,482.11,1,1,1,1,1,7.12,112.69,239.2,33.3,0.0,0.0,0.0,0.0,1,1,9.61,0.0,7.98,0.0,1,1,1
2017-06-13 16:23:37,0.0,578.55,1,1,1,1017.01,6.96,386.51,0.0,1,1,1,1,1,1,1,1.57,0.0,1008.24,1,1,1,0,1,1,0,65.27,0.0,482.24,1,1,1,1,1,7.12,112.54,239.2,33.3,0.0,0.0,0.0,0.0,1,1,9.61,0.0,7.98,0.0,1,1,1
2017-06-13 16:24:15,0.0,577.87,1,1,1,1017.01,6.96,386.77,0.0,1,1,1,1,1,1,1,9.87,2.07,997.83,1,0,1,2,2,1,0,62.75,1.06,476.48,2,1,1,1,2,7.12,110.19,237.86,351.16,1.06,0.8,0.23,0.0,1,1,9.61,0.0,136.3,0.0,1,1,1
2017-06-13 16:24:53,0.0,578.65,1,1,1,1017.01,6.95,386.77,0.0,1,1,1,1,1,1,1,17.94,2.05,983.35,1,2,1,1,2,1,0,61.68,1.06,474.75,2,1,1,1,2,7.12,109.07,238.66,186.03,1.05,0.76,0.23,0.0,1,1,9.61,0.0,136.47,0.0,1,1,1
2017-06-13 16:25:31,0.0,578.98,1,1,1,1017.01,6.96,386.64,0.0,1,1,1,1,1,1,1,17.8,2.06,967.78,1,2,1,1,2,1,0,60.5,1.24,480.84,2,1,1,1,2,7.12,107.33,237.86,81.21,1.25,0.97,0.26,0.0,2,1,9.61,1.17,160.35,0.0,1,1,1
2017-06-13 16:26:09,0.0,578.31,1,1,1,1017.01,6.95,386.77,0.0,1,1,1,1,1,1,1,17.79,2.05,953.4,1,2,1,1,2,1,0,59.96,1.59,486.29,2,1,1,1,2,7.12,107.28,237.86,37.83,1.6,1.26,0.62,0.32,2,1,9.61,4.16,194.22,0.0,1,1,1
2017-06-13 16:26:47,0.0,579.04,1,1,1,1017.01,6.96,386.57,0.0,1,1,1,1,1,1,1,17.8,2.05,936.1,1,2,1,1,2,1,0,58.47,1.59,492.66,2,1,1,1,2,7.12,105.92,241.09,23.11,1.59,1.27,0.63,0.32,2,1,9.61,4.13,194.79,0.0,1,1,1
2017-06-13 16:27:25,0.0,578.91,1,1,1,1017.01,6.94,386.77,0.0,1,1,1,1,1,1,1,17.77,2.05,920.55,1,2,1,1,2,1,0,57.71,1.59,492.37,2,1,1,1,2,7.14,104.87,246.04,21.34,1.6,1.29,0.63,0.32,2,1,9.61,4.05,194.89,0.0,1,1,1
2017-06-13 16:28:03,0.0,579.05,1,1,1,1017.01,6.94,386.49,0.0,1,1,1,1,1,1,1,17.86,2.06,904.44,1,2,1,1,2,1,0,56.83,1.59,497.74,2,1,1,1,2,7.14,103.97,250.06,21.48,1.6,1.27,0.63,0.32,2,1,9.61,4.1,195.35,0.0,1,1,1
2017-06-13 16:28:41,0.0,578.32,1,1,1,1017.01,6.97,386.9,0.0,1,1,1,1,1,1,1,17.85,2.06,888.82,1,2,1,1,2,1,0,55.93,1.59,501.93,2,1,1,1,2,7.15,102.59,252.54,22.98,1.6,1.25,0.63,0.32,2,1,9.61,4.1,194.81,0.0,1,1,1
2017-06-13 16:29:19,0.0,578.89,1,1,1,1017.01,6.96,386.8,0.0,1,1,1,1,1,1,1,17.86,2.05,873.03,1,2,1,1,2,1,0,55.47,1.59,501.89,2,1,1,1,2,7.17,101.46,255.64,23.49,1.6,1.26,0.63,0.32,2,1,9.61,4.1,195.06,0.0,1,1,1
2017-06-13 16:29:57,0.0,579.06,1,1,1,1017.01,6.96,386.82,0.0,1,1,1,1,1,1,1,17.73,2.05,858.04,1,2,1,1,2,1,0,54.59,1.59,507.39,2,1,1,1,2,7.18,100.63,258.4,24.84,1.6,1.27,0.63,0.32,2,1,9.61,4.1,194.93,0.0,1,1,1
